Date,Open,High,Low,Close
04/29/2022,"712.39","719.10","709.04","710.98"
04/28/2022,"704.01","707.64","699.42","705.93"
04/27/2022,"693.75","699.65","687.74","696.35"
04/26/2022,"711.24","711.38","694.22","695.57"
04/25/2022,"700.95","708.39","696.33","699.17"
04/22/2022,"718.55","723.78","716.80","717.26"
04/21/2022,"727.21","732.58","726.00","729.05"
04/20/2022,"721.74","730.77","717.32","725.61"
04/19/2022,"716.37","719.83","707.89","716.57"
04/14/2022,"719.66","723.55","717.02","719.70"
04/13/2022,"713.23","718.07","711.61","718.07"
04/12/2022,"708.33","718.69","705.03","716.38"
04/11/2022,"717.75","721.06","713.24","714.74"
04/08/2022,"725.35","727.26","721.26","724.75"
04/07/2022,"722.07","727.33","715.03","716.53"
04/06/2022,"734.18","734.46","715.37","719.67"
04/05/2022,"741.31","743.05","732.94","736.02"
04/04/2022,"732.18","739.22","728.31","737.80"
04/01/2022,"725.99","731.63","723.32","728.00"
03/31/2022,"732.59","735.59","724.20","724.20"
03/30/2022,"735.53","735.53","730.64","733.88"
03/29/2022,"729.60","739.27","728.96","735.15"
03/28/2022,"724.36","729.96","720.36","720.36"
03/25/2022,"721.15","728.85","717.92","723.90"
03/24/2022,"722.09","723.92","718.25","720.85"
03/23/2022,"730.84","732.23","718.35","721.81"
03/22/2022,"722.19","730.00","720.88","728.27"
03/21/2022,"715.42","721.09","714.46","718.37"
03/18/2022,"709.95","716.47","699.86","716.36"
03/17/2022,"708.74","710.53","700.61","707.45"
03/16/2022,"688.25","707.22","686.32","703.52"
03/15/2022,"666.22","677.33","660.00","676.38"
03/14/2022,"677.24","681.85","670.81","674.30"
03/11/2022,"673.04","688.28","665.15","674.80"
03/10/2022,"687.23","687.32","670.05","671.85"
03/09/2022,"670.48","688.33","668.44","688.33"
03/08/2022,"660.73","676.94","652.80","656.74"
03/07/2022,"660.35","681.34","653.09","669.04"
03/04/2022,"700.14","701.55","671.68","671.73"
03/03/2022,"721.19","726.34","703.78","705.42"
03/02/2022,"711.54","726.27","709.44","721.00"
03/01/2022,"728.52","731.06","713.46","713.46"
02/28/2022,"716.76","730.93","712.76","729.72"
02/25/2022,"714.29","728.75","708.25","727.85"
02/24/2022,"701.84","713.32","699.99","708.55"
02/23/2022,"734.18","741.02","726.63","727.91"
02/22/2022,"714.76","737.20","714.76","731.96"
02/21/2022,"747.27","747.27","725.36","729.73"
02/18/2022,"751.27","752.77","742.84","744.89"
02/17/2022,"759.48","760.76","748.23","751.20"
02/16/2022,"757.43","763.02","754.53","758.92"
02/15/2022,"745.49","755.98","745.40","755.22"
02/14/2022,"748.96","749.39","737.98","747.89"
02/11/2022,"754.02","764.65","754.02","761.50"
02/10/2022,"765.79","770.23","758.84","762.65"
02/09/2022,"765.51","771.64","763.88","769.94"
02/08/2022,"755.24","757.89","750.70","755.79"
02/07/2022,"750.23","758.32","746.02","755.69"
02/04/2022,"753.74","756.25","742.01","747.17"
02/03/2022,"763.90","764.06","748.80","748.81"
02/02/2022,"768.76","772.23","765.56","765.56"
02/01/2022,"761.91","765.64","759.03","765.22"
01/31/2022,"754.33","759.11","749.23","755.20"
01/28/2022,"749.21","749.87","734.54","744.26"
01/27/2022,"737.36","758.87","737.36","753.79"
01/26/2022,"746.34","756.86","746.34","752.43"
01/25/2022,"746.62","747.05","734.42","739.86"
01/24/2022,"761.04","764.82","734.71","738.66"
01/21/2022,"763.77","768.71","755.92","763.70"
01/20/2022,"776.09","778.26","770.77","778.26"
01/19/2022,"763.02","779.94","761.84","772.56"
01/18/2022,"776.57","776.89","766.09","769.70"
01/17/2022,"782.02","784.32","775.08","781.32"
01/14/2022,"783.14","788.33","781.11","783.53"
01/13/2022,"789.74","796.12","788.46","791.33"
01/12/2022,"788.66","794.13","785.60","790.44"
01/11/2022,"781.89","783.73","777.36","782.35"
01/10/2022,"792.10","792.42","770.31","773.13"
01/07/2022,"788.95","789.94","783.63","788.43"
01/06/2022,"786.92","789.28","779.84","785.90"
01/05/2022,"802.50","805.66","799.58","800.75"
01/04/2022,"808.76","812.55","802.28","804.28"
01/03/2022,"802.50","805.85","800.62","803.31"
12/31/2021,"799.65","800.66","796.59","797.93"
12/30/2021,"797.68","800.83","797.13","800.25"
12/29/2021,"801.50","802.28","793.56","796.12"
12/28/2021,"796.99","803.59","796.61","800.95"
12/27/2021,"788.84","798.51","788.40","797.30"
12/24/2021,"791.84","793.34","790.48","790.48"
12/23/2021,"787.55","793.20","784.37","792.30"
12/22/2021,"777.63","782.08","773.95","782.08"
12/21/2021,"771.54","775.97","768.74","774.95"
12/20/2021,"757.25","765.51","755.57","763.03"
12/17/2021,"776.58","778.00","765.56","771.70"
12/16/2021,"791.11","793.06","781.59","781.59"
